All device pins and their pinmux options
Pin,Name, Selected Mode, Used By,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
14,GPIO21,EQEP1_B,myEQEP0,GPIO21,EQEP1_B,MDRA,CANB_RX,GPIO21,EPWM11B,,SD1_C3,GPIO21,,EMIF1_BA1,,GPIO21,FSIRXF_D0,SPIC_SOMI,
15,VDDIO,VDDIO
,VDDIO
16,VDD,VDD
,VDD
17,GPIO99,,,GPIO99,,,EMIF2_A1,GPIO99,EQEP1_INDEX,,,GPIO99,,,,GPIO99,FSIRXH_CLK,,
18,GPIO8,,,GPIO8,EPWM5A,CANB_TX,ADCSOCAO,GPIO8,EQEP3_STROBE,SCIA_TX,,GPIO8,MCAN_TX,ESC_GPO0,,GPIO8,FSITXB_CLK,FSITXA_D1,FSIRXA_D0
19,GPIO9,,,GPIO9,EPWM5B,SCIB_TX,OUTPUTXBAR6,GPIO9,EQEP3_INDEX,SCIA_RX,,GPIO9,,ESC_GPO1,,GPIO9,FSIRXB_D0,FSITXA_D0,FSIRXA_CLK
20,VDDIO,VDDIO
,VDDIO
21,VDD,VDD
,VDD
22,GPIO22,EQEP1_STROBE,myEQEP0,GPIO22,EQEP1_STROBE,MCLKXA,SCIB_TX,GPIO22,EPWM12A,SPIB_CLK,SD1_D4,GPIO22,MCAN_TX,EMIF1_RAS,,GPIO22,FSIRXF_D1,SPIC_CLK,
23,GPIO23,EQEP1_INDEX,myEQEP0,GPIO23,EQEP1_INDEX,MFSXA,SCIB_RX,GPIO23,EPWM12B,SPIB_STEn,SD1_C4,GPIO23,MCAN_RX,EMIF1_CAS,,GPIO23,FSIRXF_CLK,SPIC_STEn,
24,GPIO24,,,GPIO24,OUTPUTXBAR1,EQEP2_A,MDXB,GPIO24,,SPIB_SIMO,SD2_D1,GPIO24,PMBUSA_SCL,EMIF1_DQM0,,GPIO24,EPWM13A,,FSIRXG_D0
25,GPIO25,,,GPIO25,OUTPUTXBAR2,EQEP2_B,MDRB,GPIO25,,SPIB_SOMI,SD2_C1,GPIO25,PMBUSA_SDA,EMIF1_DQM1,,GPIO25,EPWM13B,FSITXA_D1,FSIRXG_D1
26,VDDIO,VDDIO
,VDDIO
27,GPIO26,,,GPIO26,OUTPUTXBAR3,EQEP2_INDEX,MCLKXB,GPIO26,OUTPUTXBAR3,SPIB_CLK,SD2_D2,GPIO26,PMBUSA_ALERT,EMIF1_DQM2,ESC_MDIO_CLK,GPIO26,EPWM14A,FSITXA_D0,FSIRXG_CLK
28,GPIO27,,,GPIO27,OUTPUTXBAR4,EQEP2_STROBE,MFSXB,GPIO27,OUTPUTXBAR4,SPIB_STEn,SD2_C2,GPIO27,PMBUSA_CTL,EMIF1_DQM3,ESC_MDIO_DATA,GPIO27,EPWM14B,FSITXA_CLK,FSIRXH_D0
29,ADCINC4/CMPIN5P,ADCINC4/CMPIN5P,ADCINC4/CMPIN5P
30,ADCINC3/CMPIN6N,ADCINC3/CMPIN6N,ADCINC3/CMPIN6N
31,ADCINC2/CMPIN6P,ADCINC2/CMPIN6P,ADCINC2/CMPIN6P
32,VREFLOC,VREFLOC,VREFLOC
33,VREFLOA,VREFLOA,VREFLOA
34,VSSA,VSSA
,VSSA
35,VREFHIC,VREFHIC,VREFHIC
36,VDDA,VDDA
,VDDA
37,VREFHIA,VREFHIA,VREFHIA
38,ADCINA5/CMPIN2N,ADCINA5/CMPIN2N,ADCINA5/CMPIN2N
39,ADCINA4/CMPIN2P,ADCINA4/CMPIN2P,ADCINA4/CMPIN2P
40,ADCINA3/CMPIN1N,ADCINA3/CMPIN1N,ADCINA3/CMPIN1N
41,ADCINA2/CMPIN1P,ADCINA2/CMPIN1P,ADCINA2/CMPIN1P
42,ADCINA1/DACOUTB,ADCINA1/DACOUTB,ADCINA1/DACOUTB
43,ADCINA0/DACOUTA,ADCINA0/DACOUTA,ADCINA0/DACOUTA
44,ADCIN14/CMPIN4P,ADCIN14/CMPIN4P,ADCIN14/CMPIN4P
45,ADCIN15/CMPIN4N,ADCIN15/CMPIN4N,ADCIN15/CMPIN4N
46,ADCINB0/VDAC,ADCINB0/VDAC,ADCINB0/VDAC
47,ADCINB1/DACOUTC,ADCINB1/DACOUTC,ADCINB1/DACOUTC
48,ADCINB2/CMPIN3P,ADCINB2/CMPIN3P,ADCINB2/CMPIN3P
49,ADCINB3/CMPIN3N,ADCINB3/CMPIN3N,ADCINB3/CMPIN3N
50,VREFLOB,VREFLOB,VREFLOB
51,VREFLOD,VREFLOD,VREFLOD
52,VSSA,VSSA,VSSA
53,VREFHIB,VREFHIB,VREFHIB
54,VDDA,VDDA,VDDA
55,VREFHID,VREFHID,VREFHID
56,ADCIND0/CMPIN7P,ADCIND0/CMPIN7P,ADCIND0/CMPIN7P
57,ADCIND1/CMPIN7N,ADCIND1/CMPIN7N,ADCIND1/CMPIN7N
58,ADCIND2/CMPIN8P,ADCIND2/CMPIN8P,ADCIND2/CMPIN8P
59,ADCIND3/CMPIN8N,ADCIND3/CMPIN8N,ADCIND3/CMPIN8N
60,ADCIND4,ADCIND4,ADCIND4
61,VDD,VDD
,VDD
62,VDDIO,VDDIO,VDDIO
63,GPIO30,,,GPIO30,CANA_RX,EMIF1_CLK,MCAN_RX,GPIO30,OUTPUTXBAR7,EQEP3_STROBE,SD2_D4,GPIO30,EMIF1_CS4n,ESC_LATCH1,ESC_I2C_SCL,GPIO30,EPWM16A,ESC_SYNC1,SPID_SIMO
64,GPIO28,,,GPIO28,SCIA_RX,EMIF1_CS4n,,GPIO28,OUTPUTXBAR5,EQEP3_A,SD2_D3,GPIO28,EMIF1_CS2n,,,GPIO28,EPWM15A,,FSIRXH_D1
65,GPIO29,,,GPIO29,SCIA_TX,EMIF1_SDCKE,,GPIO29,OUTPUTXBAR6,EQEP3_B,SD2_C3,GPIO29,EMIF1_CS3n,ESC_LATCH0,ESC_I2C_SDA,GPIO29,EPWM15B,ESC_SYNC0,FSIRXH_CLK
66,GPIO31,,,GPIO31,CANA_TX,EMIF1_WEn,MCAN_TX,GPIO31,OUTPUTXBAR8,EQEP3_INDEX,SD2_C4,GPIO31,EMIF1_RNW,I2CA_SDA,CM-I2CA_SDA,GPIO31,EPWM16B,,SPID_SOMI
67,GPIO32,,,GPIO32,I2CA_SDA,EMIF1_CS0n,SPIA_SIMO,GPIO32,,,CLB_OUTPUTXBAR1,GPIO32,EMIF1_OEn,I2CA_SCL,CM-I2CA_SCL,GPIO32,,,SPID_CLK
68,VDDIO,VDDIO
,VDDIO
69,GPIO33,,,GPIO33,I2CA_SCL,EMIF1_RNW,SPIA_SOMI,GPIO33,,,CLB_OUTPUTXBAR2,GPIO33,EMIF1_BA0,,,GPIO33,,,SPID_STEn
70,GPIO34,,,GPIO34,OUTPUTXBAR1,EMIF1_CS2n,SPIA_CLK,GPIO34,,I2CB_SDA,CLB_OUTPUTXBAR3,GPIO34,EMIF1_BA1,ESC_LATCH0,ENET_MII_CRS,GPIO34,SCIA_TX,ESC_SYNC0,
71,GPIO35,,,GPIO35,SCIA_RX,EMIF1_CS3n,SPIA_STEn,GPIO35,,I2CB_SCL,CLB_OUTPUTXBAR4,GPIO35,EMIF1_A0,ESC_LATCH1,ENET_MII_COL,GPIO35,,ESC_SYNC1,
72,VDD3VFL,VDD3VFL,VDD3VFL
73,FLT1,FLT1,FLT1
74,FLT2,FLT2,FLT2
75,VDDIO,VDDIO
,VDDIO
76,VDD,VDD
,VDD
77,TDI,TDI,TDI
78,TDO,TDO,TDO
79,TRSTn,TRSTn,TRSTn
80,TMS,TMS,TMS
81,TCK,TCK,TCK
82,VDDIO,VDDIO
,VDDIO
83,GPIO36,,,GPIO36,SCIA_TX,EMIF1_WAIT,,GPIO36,,CANA_RX,CLB_OUTPUTXBAR5,GPIO36,EMIF1_A1,MCAN_RX,,GPIO36,SD1_D1,,
84,GPIO37,,,GPIO37,OUTPUTXBAR2,EMIF1_OEn,,GPIO37,,CANA_TX,CLB_OUTPUTXBAR6,GPIO37,EMIF1_A2,MCAN_TX,,GPIO37,SD1_D2,,
85,GPIO38,,,GPIO38,,EMIF1_A0,,GPIO38,SCIC_TX,CANB_TX,CLB_OUTPUTXBAR7,GPIO38,EMIF1_A3,ENET_MII_RX_DV,ENET_MII_CRS,GPIO38,SD1_D3,,
86,GPIO39,,,GPIO39,,EMIF1_A1,,GPIO39,SCIC_RX,CANB_RX,CLB_OUTPUTXBAR8,GPIO39,EMIF1_A4,ENET_MII_RX_ERR,ENET_MII_COL,GPIO39,SD1_D4,,
87,GPIO40,,,GPIO40,,EMIF1_A2,,GPIO40,,I2CB_SDA,,GPIO40,,,ENET_MII_CRS,GPIO40,,ESC_I2C_SDA,
88,VDDIO,VDDIO
,VDDIO
89,GPIO41,,,GPIO41,,EMIF1_A3,EMU1,GPIO41,,I2CB_SCL,,GPIO41,,ENET_REVMII_MDIO_RST,ENET_MII_COL,GPIO41,,ESC_I2C_SCL,
90,GPIO48,,,GPIO48,OUTPUTXBAR3,EMIF1_A8,,GPIO48,,SCIA_TX,SD1_D1,GPIO48,,,ENET_PPS1,GPIO48,,ESC_PHY_CLK,
91,VDDIO,VDDIO
,VDDIO
92,ERRORSTS,ERRORSTS,ERRORSTS
93,GPIO49,,,GPIO49,OUTPUTXBAR4,EMIF1_A9,,GPIO49,,SCIA_RX,SD1_C1,GPIO49,EMIF1_A5,,ENET_MII_RX_CLK,GPIO49,SD2_D1,FSITXA_D0,
94,GPIO50,,,GPIO50,EQEP1_A,EMIF1_A10,,GPIO50,,SPIC_SIMO,SD1_D2,GPIO50,EMIF1_A6,,ENET_MII_RX_DV,GPIO50,SD2_D2,FSITXA_D1,
95,GPIO51,,,GPIO51,EQEP1_B,EMIF1_A11,,GPIO51,,SPIC_SOMI,SD1_C2,GPIO51,EMIF1_A7,,ENET_MII_RX_ERR,GPIO51,SD2_D3,FSITXA_CLK,
96,GPIO52,,,GPIO52,EQEP1_STROBE,EMIF1_A12,,GPIO52,,SPIC_CLK,SD1_D3,GPIO52,EMIF1_A8,,ENET_MII_RX_DATA0,GPIO52,SD2_D4,FSIRXA_D0,
97,GPIO53,,,GPIO53,EQEP1_INDEX,EMIF1_D31,EMIF2_D15,GPIO53,,SPIC_STEn,SD1_C3,GPIO53,EMIF1_A9,,ENET_MII_RX_DATA1,GPIO53,SD1_C1,FSIRXA_D1,
98,GPIO54,,,GPIO54,SPIA_SIMO,EMIF1_D30,EMIF2_D14,GPIO54,EQEP2_A,SCIB_TX,SD1_D4,GPIO54,EMIF1_A10,,ENET_MII_RX_DATA2,GPIO54,SD1_C2,FSIRXA_CLK,SSIA_TX
99,VDDIO,VDDIO
,VDDIO
100,GPIO55,,,GPIO55,SPIA_SOMI,EMIF1_D29,EMIF2_D13,GPIO55,EQEP2_B,SCIB_RX,SD1_C4,GPIO55,EMIF1_D0,,ENET_MII_RX_DATA3,GPIO55,SD1_C3,FSITXB_D0,SSIA_RX
101,GPIO56,,,GPIO56,SPIA_CLK,EMIF1_D28,EMIF2_D12,GPIO56,EQEP2_STROBE,SCIC_TX,SD2_D1,GPIO56,EMIF1_D1,I2CA_SDA,ENET_MII_TX_EN,GPIO56,SD1_C4,FSITXB_CLK,SSIA_CLK
102,GPIO57,,,GPIO57,SPIA_STEn,EMIF1_D27,EMIF2_D11,GPIO57,EQEP2_INDEX,SCIC_RX,SD2_C1,GPIO57,EMIF1_D2,I2CA_SCL,ENET_MII_TX_ERR,GPIO57,,FSITXB_D1,SSIA_FSS
103,GPIO58,,,GPIO58,MCLKRA,EMIF1_D26,EMIF2_D10,GPIO58,OUTPUTXBAR1,SPIB_CLK,SD2_D2,GPIO58,EMIF1_D3,ESC_LED_LINK0_ACTIVE,ENET_MII_TX_CLK,GPIO58,SD2_C2,FSIRXB_D0,SPIA_SIMO
104,GPIO59,,,GPIO59,MFSRA,EMIF1_D25,EMIF2_D9,GPIO59,OUTPUTXBAR2,SPIB_STEn,SD2_C2,GPIO59,EMIF1_D4,ESC_LED_LINK1_ACTIVE,ENET_MII_TX_DATA0,GPIO59,SD2_C3,FSIRXB_D1,SPIA_SOMI
105,GPIO60,,,GPIO60,MCLKRB,EMIF1_D24,EMIF2_D8,GPIO60,OUTPUTXBAR3,SPIB_SIMO,SD2_D3,GPIO60,EMIF1_D5,ESC_LED_ERR,ENET_MII_TX_DATA1,GPIO60,SD2_C4,FSIRXB_CLK,SPIA_CLK
106,VDDIO,VDDIO
,VDDIO
107,GPIO61,,,GPIO61,MFSRB,EMIF1_D23,EMIF2_D7,GPIO61,OUTPUTXBAR4,SPIB_SOMI,SD2_C3,GPIO61,EMIF1_D6,ESC_LED_RUN,ENET_MII_TX_DATA2,GPIO61,,CANA_RX,SPIA_STEn
108,GPIO62,,,GPIO62,SCIC_RX,EMIF1_D22,EMIF2_D6,GPIO62,EQEP3_A,CANA_RX,SD2_D4,GPIO62,EMIF1_D7,ESC_LED_STATE_RUN,ENET_MII_TX_DATA3,GPIO62,,CANA_TX,
109,GPIO63,,,GPIO63,SCIC_TX,EMIF1_D21,EMIF2_D5,GPIO63,EQEP3_B,CANA_TX,SD2_C4,GPIO63,SSIA_TX,,ENET_MII_RX_DATA0,GPIO63,SD1_D1,ESC_RX1_DATA0,SPIB_SIMO
110,GPIO64,,,GPIO64,,EMIF1_D20,EMIF2_D4,GPIO64,EQEP3_STROBE,SCIA_RX,,GPIO64,SSIA_RX,ENET_MII_RX_DV,ENET_MII_RX_DATA1,GPIO64,SD1_C1,ESC_RX1_DATA1,SPIB_SOMI
111,GPIO65,,,GPIO65,,EMIF1_D19,EMIF2_D3,GPIO65,EQEP3_INDEX,SCIA_TX,,GPIO65,SSIA_CLK,ENET_MII_RX_ERR,ENET_MII_RX_DATA2,GPIO65,SD1_D2,ESC_RX1_DATA2,SPIB_CLK
112,GPIO66,,,GPIO66,,EMIF1_D18,EMIF2_D2,GPIO66,,I2CB_SDA,,GPIO66,SSIA_FSS,ENET_MII_RX_DATA0,ENET_MII_RX_DATA3,GPIO66,SD1_C2,ESC_RX1_DATA3,SPIB_STEn
113,GPIO44,,,GPIO44,,EMIF1_A4,,GPIO44,,,,GPIO44,,,ENET_MII_TX_CLK,GPIO44,,ESC_TX1_CLK,
114,VDDIO,VDDIO
,VDDIO
115,GPIO45,,,GPIO45,,EMIF1_A5,,GPIO45,,,,GPIO45,,,ENET_MII_TX_EN,GPIO45,,ESC_TX1_ENA,
116,VDDIO,VDDIO
,VDDIO
117,VDD,VDD
,VDD
118,GPIO133,,,GPIO133,,,,GPIO133,,,SD2_C2,GPIO133,,,,GPIO133,,,
119,NC,NC,NC
120,VDDOSC,VDDOSC,VDDOSC
121,X2,X2,X2
122,VSSOSC,VSSOSC,VSSOSC
123,X1,X1,X1
124,XRSn,XRSn,XRSn
125,VDDOSC,VDDOSC,VDDOSC
126,VDD,VDD
,VDD
127,VDDIO,VDDIO,VDDIO
128,GPIO46,,,GPIO46,,EMIF1_A6,,GPIO46,,SCID_RX,,GPIO46,,,ENET_MII_TX_ERR,GPIO46,,ESC_MDIO_CLK,
129,GPIO47,,,GPIO47,,EMIF1_A7,,GPIO47,,SCID_TX,,GPIO47,,,ENET_PPS0,GPIO47,,ESC_MDIO_DATA,
130,GPIO42,,,GPIO42,,,,GPIO42,,I2CA_SDA,,GPIO42,,ENET_MDIO_CLK,UARTA_TX,GPIO42,,,SCIA_TX
131,GPIO43,,,GPIO43,,,,GPIO43,,I2CA_SCL,,GPIO43,,ENET_MDIO_DATA,UARTA_RX,GPIO43,,,SCIA_RX
132,GPIO67,,,GPIO67,,EMIF1_D17,EMIF2_D1,GPIO67,,,,GPIO67,,ENET_MII_RX_CLK,ENET_REVMII_MDIO_RST,GPIO67,SD1_D3,,
133,GPIO68,,,GPIO68,,EMIF1_D16,EMIF2_D0,GPIO68,,,,GPIO68,,,ENET_MII_INTR,GPIO68,SD1_C3,ESC_PHY1_LINKSTATUS,
134,GPIO69,,,GPIO69,,EMIF1_D15,EMU0,GPIO69,,I2CB_SCL,,GPIO69,,ENET_MII_TX_EN,ENET_MII_RX_CLK,GPIO69,SD1_D4,ESC_RX1_CLK,SPIC_SIMO
135,GPIO70,,,GPIO70,,EMIF1_D14,EMU0,GPIO70,CANA_RX,SCIB_TX,,GPIO70,MCAN_RX,,ENET_MII_RX_DV,GPIO70,SD1_C4,ESC_RX1_DV,SPIC_SOMI
136,GPIO71,,,GPIO71,,EMIF1_D13,EMU1,GPIO71,CANA_TX,SCIB_RX,,GPIO71,MCAN_TX,ENET_MII_RX_DATA0,ENET_MII_RX_ERR,GPIO71,,ESC_RX1_ERR,SPIC_CLK
137,VDD,VDD
,VDD
138,VDDIO,VDDIO
,VDDIO
139,GPIO72,,,GPIO72,,EMIF1_D12,,GPIO72,CANB_TX,SCIC_TX,,GPIO72,,ENET_MII_RX_DATA1,ENET_MII_TX_DATA3,GPIO72,,ESC_TX1_DATA3,SPIC_STEn
140,GPIO73,,,GPIO73,,EMIF1_D11,XCLKOUT,GPIO73,CANB_RX,SCIC_RX,,GPIO73,,ENET_RMII_CLK,ENET_MII_TX_DATA2,GPIO73,SD2_D2,ESC_TX1_DATA2,
141,GPIO74,,,GPIO74,,EMIF1_D10,,GPIO74,,,,GPIO74,MCAN_TX,,ENET_MII_TX_DATA1,GPIO74,SD2_C2,ESC_TX1_DATA1,
142,GPIO75,,,GPIO75,,EMIF1_D9,,GPIO75,,,,GPIO75,MCAN_RX,,ENET_MII_TX_DATA0,GPIO75,SD2_D3,ESC_TX1_DATA0,
143,GPIO76,,,GPIO76,,EMIF1_D8,,GPIO76,,SCID_TX,,GPIO76,,ENET_MII_RX_ERR,,GPIO76,SD2_C3,ESC_PHY_RESETn,
144,GPIO77,,,GPIO77,,EMIF1_D7,,GPIO77,,SCID_RX,,GPIO77,,,,GPIO77,SD2_D4,ESC_RX0_CLK,
145,GPIO78,,,GPIO78,,EMIF1_D6,,GPIO78,,EQEP2_A,,GPIO78,,,,GPIO78,SD2_C4,ESC_RX0_DV,
146,GPIO79,,,GPIO79,,EMIF1_D5,,GPIO79,,EQEP2_B,,GPIO79,,,,GPIO79,SD2_D1,ESC_RX0_ERR,
147,VDDIO,VDDIO
,VDDIO
148,GPIO80,,,GPIO80,,EMIF1_D4,,GPIO80,,EQEP2_STROBE,,GPIO80,,,,GPIO80,SD2_C1,ESC_RX0_DATA0,
149,GPIO81,,,GPIO81,,EMIF1_D3,,GPIO81,,EQEP2_INDEX,,GPIO81,,,,GPIO81,,ESC_RX0_DATA1,
150,GPIO82,,,GPIO82,,EMIF1_D2,,GPIO82,,,,GPIO82,,,,GPIO82,,ESC_RX0_DATA2,
151,GPIO83,,,GPIO83,,EMIF1_D1,,GPIO83,,,,GPIO83,,,,GPIO83,,ESC_RX0_DATA3,
152,VDDIO,VDDIO
,VDDIO
153,VDD,VDD
,VDD
154,GPIO84,,,GPIO84,,,,GPIO84,SCIA_TX,MDXB,,GPIO84,,,UARTA_TX,GPIO84,,ESC_TX0_ENA,MDXA
155,GPIO85,,,GPIO85,,EMIF1_D0,,GPIO85,SCIA_RX,MDRB,,GPIO85,,,UARTA_RX,GPIO85,,ESC_TX0_CLK,MDRA
156,GPIO86,,,GPIO86,,EMIF1_A13,EMIF1_CAS,GPIO86,SCIB_TX,MCLKXB,,GPIO86,,,,GPIO86,,ESC_PHY0_LINKSTATUS,MCLKXA
157,GPIO87,,,GPIO87,,EMIF1_A14,EMIF1_RAS,GPIO87,SCIB_RX,MFSXB,,GPIO87,EMIF1_DQM3,,,GPIO87,,ESC_TX0_DATA0,MFSXA
158,VDD,VDD
,VDD
159,VDDIO,VDDIO
,VDDIO
160,GPIO0,EPWM1A,myEPWM1,GPIO0,EPWM1A,,,GPIO0,,I2CA_SDA,,GPIO0,CM-I2CA_SDA,ESC_GPI0,,GPIO0,FSITXA_D0,,
161,GPIO1,EPWM1B,myEPWM1,GPIO1,EPWM1B,,MFSRB,GPIO1,,I2CA_SCL,,GPIO1,CM-I2CA_SCL,ESC_GPI1,,GPIO1,FSITXA_D1,,
162,GPIO2,EPWM2A,myEPWM2,GPIO2,EPWM2A,,,GPIO2,OUTPUTXBAR1,I2CB_SDA,,GPIO2,,ESC_GPI2,,GPIO2,FSITXA_CLK,,
163,GPIO3,EPWM2B,myEPWM2,GPIO3,EPWM2B,OUTPUTXBAR2,MCLKRB,GPIO3,OUTPUTXBAR2,I2CB_SCL,,GPIO3,,ESC_GPI3,,GPIO3,FSIRXA_D0,,
164,GPIO4,EPWM3A,myEPWM3,GPIO4,EPWM3A,,,GPIO4,OUTPUTXBAR3,CANA_TX,,GPIO4,MCAN_TX,ESC_GPI4,,GPIO4,FSIRXA_D1,,
165,GPIO5,EPWM3B,myEPWM3,GPIO5,EPWM3B,MFSRA,OUTPUTXBAR3,GPIO5,,CANA_RX,,GPIO5,MCAN_RX,ESC_GPI5,,GPIO5,FSIRXA_CLK,,
166,GPIO6,,,GPIO6,EPWM4A,OUTPUTXBAR4,EXTSYNCOUT,GPIO6,EQEP3_A,CANB_TX,,GPIO6,,ESC_GPI6,,GPIO6,FSITXB_D0,,
167,GPIO7,,,GPIO7,EPWM4B,MCLKRA,OUTPUTXBAR5,GPIO7,EQEP3_B,CANB_RX,,GPIO7,,ESC_GPI7,,GPIO7,FSITXB_D1,,
168,VDDIO,VDDIO
,VDDIO
169,VDD,VDD
,VDD
170,GPIO88,,,GPIO88,,EMIF1_A15,EMIF1_DQM0,GPIO88,,,,GPIO88,EMIF1_DQM1,,,GPIO88,,ESC_TX0_DATA1,
171,GPIO89,,,GPIO89,,EMIF1_A16,EMIF1_DQM1,GPIO89,,SCIC_TX,,GPIO89,EMIF1_CAS,,,GPIO89,,ESC_TX0_DATA2,
172,GPIO90,,,GPIO90,,EMIF1_A17,EMIF1_DQM2,GPIO90,,SCIC_RX,,GPIO90,EMIF1_RAS,,,GPIO90,,ESC_TX0_DATA3,
173,GPIO91,,,GPIO91,,EMIF1_A18,EMIF1_DQM3,GPIO91,,I2CA_SDA,,GPIO91,EMIF1_DQM2,PMBUSA_SCL,SSIA_TX,GPIO91,FSIRXF_D0,CLB_OUTPUTXBAR1,SPID_SIMO
174,GPIO92,,,GPIO92,,EMIF1_A19,EMIF1_BA1,GPIO92,,I2CA_SCL,,GPIO92,EMIF1_DQM0,PMBUSA_SDA,SSIA_RX,GPIO92,FSIRXF_D1,CLB_OUTPUTXBAR2,SPID_SOMI
175,GPIO93,,,GPIO93,,EMIF1_A20,EMIF1_BA0,GPIO93,,SCID_TX,,GPIO93,,PMBUSA_ALERT,SSIA_CLK,GPIO93,FSIRXF_CLK,CLB_OUTPUTXBAR3,SPID_CLK
176,GPIO94,,,GPIO94,,EMIF1_A21,,GPIO94,,SCID_RX,,GPIO94,EMIF1_BA1,PMBUSA_CTL,SSIA_FSS,GPIO94,FSIRXG_D0,CLB_OUTPUTXBAR4,SPID_STEn
177,VSS,VSS,VSS
178,VSS,VSS,VSS
179,VSS,VSS
,VSS
180,VSS,VSS
,VSS

